,,,,,,,,,,,,,,,,,,,,,,,,,,,Jarvis,,,,,,,,,,,
,,,,,Mold Temp Set,,Insert Temp Actual,,,,,Injection Velocity,,,,,Injection Pressure's,,,,,,,SR2,,,Global Power Avg,,,,,,,,,,,Lid Molding
Date,Sample ID,CT (mm),PRE-DRY,Mold,A-SIDE,B-SIDE,A-SIDE,B-SIDE,"Melt Temp
(F)","Fill time
(s)",Cooling time,"1st
(%)","2nd
(%)","3rd
(%)","1st
(psi) x 1000","2nd
(psi) x 1000","Inj P Setting
(%)","Pack Set
(%)","Hold Set
(%)","Pack Pressure
(psi) x 1000","Hold Pressure
(psi) x 1000","Shot size
(mm)","Cushion
(mm)","Diopter
3.5+/-0.06","Cyl
(<0.06)","Insert 
Design",R.01,R.02,R.03,R.04,R.05,R.06,R.07,R.08,R.09,R.10,R.11,
,A13P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.54,325,5,12,8,4.1,8.18,65,58,55,14.9,14.25,70.86,6.7,3.51,0.01,D_19121901,3.539,3.49,3.477,3.412,3.326,3.212,3.048,2.866,2.577,2.356,1.994,
,A14P2,1.11,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.54,325,5,12,8,4.1,8.18,65,58,55,14.9,14.25,70.86,6.7,3.54,0.01,D_19121901,3.632,3.588,3.579,3.502,3.398,3.255,3.076,2.875,2.594,2.354,1.991,
,A15P2,1.1,CLV1000_P2-No,R&D 2-Cav,217,220,195,200,460,6.52,325,5,12,8,4.2,8.28,65,58,55,15.1,14.21,70.76,6.62,3.53,0.04,D_19121901,3.465,3.438,3.415,3.361,3.27,3.154,2.996,2.802,2.53,2.308,1.962,
,A1P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.63,325,5,12,8,3.9,8.18,65,58,55,15,14.16,70.62,7.07,3.53,0.05,D_19121901,3.492,3.453,3.422,3.364,3.268,3.159,2.995,2.811,2.542,2.323,1.961,
,A2P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.63,325,5,12,8,4.2,8.18,65,58,55,15,14.16,70.62,7.07,3.54,0.05,D_19121901,3.5,3.471,3.431,3.392,3.306,3.186,3.042,2.85,2.577,2.35,1.981,
,A3P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.66,325,5,12,8,4.2,8.43,65,58,55,15,14.06,70.55,7.1,3.52,0.04,D_19121901,3.571,3.527,3.491,3.442,3.357,3.237,3.075,2.88,2.598,2.372,2,
,A4P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.66,325,5,12,8,3.1,8.43,65,58,55,15,14.06,70.55,7.1,3.55,0.03,D_19121901,3.647,3.574,3.552,3.477,3.369,3.223,3.033,2.825,2.549,2.312,1.973,
,A5P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.65,325,5,12,8,3.1,8.43,65,58,55,15,14.16,70.58,7.04,3.53,0.02,D_19121901,3.484,3.451,3.429,3.374,3.27,3.147,2.991,2.807,2.533,2.316,1.956,
,A6P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.65,325,5,12,8,3.6,8.43,65,58,55,15,14.16,70.58,7.04,3.55,0.05,D_19121901,3.522,3.47,3.478,3.422,3.334,3.2,3.034,2.829,2.549,2.327,1.976,
,A7P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.68,325,5,12,8,3.6,8.43,65,58,55,14.9,14.11,70.62,7.16,3.51,0.03,D_19121901,3.58,3.527,3.517,3.445,3.34,3.214,3.044,2.84,2.55,2.319,1.961,
,A8P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.68,325,5,12,8,3.6,8.43,65,58,55,14.9,14.11,70.62,7.16,3.54,0.04,D_19121901,3.551,3.52,3.511,3.44,3.351,3.222,3.066,2.864,2.584,2.347,1.99,
,A9P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.65,325,5,12,8,3.6,8.18,65,58,55,15,14.11,70.56,7.09,3.52,0.05,D_19121901,3.494,3.465,3.437,3.383,3.276,3.158,3.008,2.81,2.521,2.324,1.964,
,A10P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.65,325,5,12,8,3.9,8.18,65,58,55,15,14.11,70.56,7.09,3.53,0.01,D_19121901,3.542,3.504,3.501,3.453,3.355,3.225,3.056,2.851,2.554,2.324,1.958,
,A11P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.63,325,5,12,8,3.9,8.38,65,58,55,15,14.16,70.52,7.06,4.54,0.03,D_19121901,3.548,3.512,3.501,3.428,3.336,3.214,3.055,2.858,2.575,2.349,1.985,
,A12P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.63,325,5,12,8,4.1,8.38,65,58,55,15,14.16,70.52,7.06,3.54,0.03,D_19121901,3.526,3.502,3.494,3.422,3.362,3.228,3.07,2.875,2.58,2.364,1.994,
,A13P3,1.16,CLV1000_P3-No,R&D 2-Cav,217,220,195,200,460,6.2,325,5,12,8,4.1,8.33,65,58,55,15,14.16,70.66,7.14,3.53,0.01,D_19121901,3.489,3.452,3.432,3.375,3.283,3.167,3.007,2.819,2.537,2.324,1.955,
